,folder,lines
THUCNews/教育/288582.txt,教育,8.0
THUCNews/教育/315755.txt,教育,6.0
THUCNews/教育/288048.txt,教育,4.0
THUCNews/教育/303685.txt,教育,46.0
THUCNews/教育/306248.txt,教育,38.0
THUCNews/教育/314889.txt,教育,9.0
THUCNews/教育/308721.txt,教育,18.0
THUCNews/教育/311742.txt,教育,5.0
THUCNews/教育/292572.txt,教育,10.0
THUCNews/教育/309072.txt,教育,12.0
THUCNews/教育/298128.txt,教育,20.0
THUCNews/教育/322339.txt,教育,11.0
THUCNews/教育/321979.txt,教育,9.0
THUCNews/教育/292687.txt,教育,6.0
THUCNews/教育/296679.txt,教育,36.0
THUCNews/教育/296488.txt,教育,10.0
THUCNews/教育/309210.txt,教育,32.0
THUCNews/教育/312911.txt,教育,13.0
THUCNews/教育/316231.txt,教育,23.0
THUCNews/教育/313055.txt,教育,24.0
THUCNews/教育/311931.txt,教育,15.0
THUCNews/教育/308021.txt,教育,13.0
THUCNews/教育/306696.txt,教育,4.0
THUCNews/教育/322012.txt,教育,13.0
THUCNews/教育/320772.txt,教育,5.0
THUCNews/教育/303577.txt,教育,4.0
THUCNews/教育/291473.txt,教育,5.0
THUCNews/教育/302450.txt,教育,15.0
THUCNews/教育/312236.txt,教育,30.0
THUCNews/教育/294563.txt,教育,8.0
THUCNews/教育/318381.txt,教育,20.0
THUCNews/教育/310938.txt,教育,15.0
THUCNews/教育/323038.txt,教育,6.0
THUCNews/教育/295924.txt,教育,33.0
THUCNews/教育/286509.txt,教育,19.0
THUCNews/教育/318053.txt,教育,9.0
THUCNews/教育/308224.txt,教育,15.0
THUCNews/教育/320684.txt,教育,10.0
THUCNews/教育/317162.txt,教育,3.0
THUCNews/教育/290121.txt,教育,25.0
THUCNews/教育/314322.txt,教育,14.0
THUCNews/教育/307692.txt,教育,6.0
THUCNews/教育/296561.txt,教育,14.0
THUCNews/教育/320565.txt,教育,8.0
THUCNews/教育/318261.txt,教育,13.0
THUCNews/教育/313376.txt,教育,25.0
THUCNews/教育/317290.txt,教育,79.0
THUCNews/教育/306963.txt,教育,15.0
THUCNews/教育/299368.txt,教育,21.0
THUCNews/教育/298836.txt,教育,18.0
THUCNews/教育/284701.txt,教育,11.0
THUCNews/教育/286178.txt,教育,12.0
THUCNews/教育/313471.txt,教育,53.0
THUCNews/教育/287567.txt,教育,29.0
THUCNews/教育/289869.txt,教育,12.0
THUCNews/教育/316941.txt,教育,23.0
THUCNews/教育/285763.txt,教育,28.0
THUCNews/教育/286985.txt,教育,6.0
THUCNews/教育/312264.txt,教育,18.0
THUCNews/教育/285065.txt,教育,52.0
THUCNews/教育/312881.txt,教育,54.0
THUCNews/教育/302677.txt,教育,5.0
THUCNews/教育/302431.txt,教育,11.0
THUCNews/教育/285023.txt,教育,9.0
THUCNews/教育/309975.txt,教育,71.0
THUCNews/教育/313987.txt,教育,5.0
THUCNews/教育/307700.txt,教育,6.0
THUCNews/教育/306719.txt,教育,49.0
THUCNews/教育/316076.txt,教育,66.0
THUCNews/教育/299850.txt,教育,27.0
THUCNews/教育/298078.txt,教育,28.0
THUCNews/教育/296728.txt,教育,27.0
THUCNews/教育/302428.txt,教育,12.0
THUCNews/教育/312639.txt,教育,18.0
THUCNews/教育/311982.txt,教育,58.0
THUCNews/教育/323621.txt,教育,22.0
THUCNews/教育/315289.txt,教育,8.0
THUCNews/教育/310578.txt,教育,20.0
THUCNews/教育/308535.txt,教育,14.0
THUCNews/教育/294833.txt,教育,7.0
THUCNews/教育/309512.txt,教育,53.0
THUCNews/教育/290647.txt,教育,16.0
THUCNews/教育/293618.txt,教育,8.0
THUCNews/教育/293617.txt,教育,27.0
THUCNews/教育/299389.txt,教育,11.0
THUCNews/教育/307929.txt,教育,12.0
THUCNews/教育/314575.txt,教育,23.0
THUCNews/教育/326254.txt,教育,16.0
THUCNews/教育/291656.txt,教育,13.0
THUCNews/教育/284527.txt,教育,4.0
THUCNews/教育/324263.txt,教育,11.0
THUCNews/教育/298381.txt,教育,3.0
THUCNews/教育/293687.txt,教育,20.0
THUCNews/教育/325781.txt,教育,5.0
THUCNews/教育/307565.txt,教育,74.0
THUCNews/教育/286475.txt,教育,7.0
THUCNews/教育/292618.txt,教育,16.0
THUCNews/教育/301889.txt,教育,7.0
THUCNews/教育/287967.txt,教育,18.0
THUCNews/教育/312079.txt,教育,10.0
THUCNews/教育/307973.txt,教育,20.0
THUCNews/教育/325216.txt,教育,7.0
THUCNews/教育/324350.txt,教育,17.0
THUCNews/教育/287474.txt,教育,10.0
THUCNews/教育/290226.txt,教育,10.0
THUCNews/教育/321642.txt,教育,4.0
THUCNews/教育/320334.txt,教育,47.0
THUCNews/教育/284910.txt,教育,13.0
THUCNews/教育/323214.txt,教育,5.0
THUCNews/教育/292046.txt,教育,3.0
THUCNews/教育/291858.txt,教育,4.0
THUCNews/教育/322400.txt,教育,12.0
THUCNews/教育/308057.txt,教育,6.0
THUCNews/教育/294287.txt,教育,15.0
THUCNews/教育/302311.txt,教育,21.0
THUCNews/教育/296641.txt,教育,5.0
THUCNews/教育/321331.txt,教育,28.0
THUCNews/教育/316484.txt,教育,7.0
THUCNews/教育/312660.txt,教育,11.0
THUCNews/教育/319904.txt,教育,8.0
THUCNews/教育/317315.txt,教育,6.0
THUCNews/教育/316013.txt,教育,3.0
THUCNews/教育/325360.txt,教育,109.0
THUCNews/教育/290374.txt,教育,24.0
THUCNews/教育/301272.txt,教育,4.0
THUCNews/教育/292159.txt,教育,42.0
THUCNews/教育/310470.txt,教育,282.0
THUCNews/教育/312913.txt,教育,12.0
THUCNews/教育/326079.txt,教育,3.0
THUCNews/教育/294453.txt,教育,16.0
THUCNews/教育/316737.txt,教育,63.0
THUCNews/教育/319116.txt,教育,12.0
THUCNews/教育/285511.txt,教育,4.0
THUCNews/教育/302257.txt,教育,17.0
THUCNews/教育/297507.txt,教育,19.0
THUCNews/教育/295554.txt,教育,14.0
THUCNews/教育/285386.txt,教育,8.0
THUCNews/教育/301639.txt,教育,4.0
THUCNews/教育/304542.txt,教育,12.0
THUCNews/教育/294443.txt,教育,10.0
THUCNews/教育/295335.txt,教育,35.0
THUCNews/教育/295981.txt,教育,16.0
THUCNews/教育/308902.txt,教育,4.0
THUCNews/教育/302814.txt,教育,15.0
THUCNews/教育/298012.txt,教育,48.0
THUCNews/教育/324848.txt,教育,4.0
THUCNews/教育/298569.txt,教育,15.0
THUCNews/教育/307951.txt,教育,18.0
THUCNews/教育/316750.txt,教育,26.0
THUCNews/教育/315092.txt,教育,5.0
THUCNews/教育/307610.txt,教育,60.0
THUCNews/教育/301722.txt,教育,18.0
THUCNews/教育/298571.txt,教育,3.0
THUCNews/教育/297174.txt,教育,20.0
THUCNews/教育/320169.txt,教育,7.0
THUCNews/教育/317028.txt,教育,16.0
THUCNews/教育/322450.txt,教育,24.0
THUCNews/教育/293976.txt,教育,5.0
THUCNews/教育/305633.txt,教育,64.0
THUCNews/教育/317038.txt,教育,3.0
THUCNews/教育/308481.txt,教育,17.0
THUCNews/教育/292996.txt,教育,6.0
THUCNews/教育/314236.txt,教育,27.0
THUCNews/教育/316061.txt,教育,27.0
THUCNews/教育/307712.txt,教育,32.0
THUCNews/教育/286029.txt,教育,40.0
THUCNews/教育/304396.txt,教育,13.0
THUCNews/教育/284644.txt,教育,26.0
THUCNews/教育/317166.txt,教育,5.0
THUCNews/教育/300825.txt,教育,35.0
THUCNews/教育/297251.txt,教育,36.0
THUCNews/教育/288474.txt,教育,17.0
THUCNews/教育/289203.txt,教育,8.0
THUCNews/教育/312354.txt,教育,11.0
THUCNews/教育/309278.txt,教育,17.0
THUCNews/教育/299908.txt,教育,7.0
THUCNews/教育/290080.txt,教育,21.0
THUCNews/教育/320399.txt,教育,41.0
THUCNews/教育/292182.txt,教育,8.0
THUCNews/教育/306552.txt,教育,4.0
THUCNews/教育/290573.txt,教育,19.0
THUCNews/教育/297855.txt,教育,15.0
THUCNews/教育/299898.txt,教育,21.0
THUCNews/教育/316752.txt,教育,3.0
THUCNews/教育/285796.txt,教育,19.0
THUCNews/教育/325041.txt,教育,5.0
THUCNews/教育/286116.txt,教育,18.0
THUCNews/教育/294953.txt,教育,7.0
THUCNews/教育/318661.txt,教育,22.0
THUCNews/教育/317152.txt,教育,3.0
THUCNews/教育/311498.txt,教育,6.0
THUCNews/教育/308570.txt,教育,10.0
THUCNews/教育/313820.txt,教育,16.0
THUCNews/教育/300038.txt,教育,6.0
THUCNews/教育/312501.txt,教育,16.0
THUCNews/教育/319021.txt,教育,15.0
THUCNews/教育/295936.txt,教育,6.0
THUCNews/教育/290505.txt,教育,9.0
THUCNews/教育/299047.txt,教育,20.0
THUCNews/教育/318233.txt,教育,36.0
THUCNews/教育/311272.txt,教育,20.0
THUCNews/教育/297095.txt,教育,14.0
THUCNews/教育/297979.txt,教育,33.0
THUCNews/教育/297286.txt,教育,6.0
THUCNews/教育/312387.txt,教育,11.0
THUCNews/教育/313215.txt,教育,41.0
THUCNews/教育/307797.txt,教育,9.0
THUCNews/教育/300807.txt,教育,10.0
THUCNews/教育/286535.txt,教育,19.0
THUCNews/教育/291105.txt,教育,22.0
THUCNews/教育/316077.txt,教育,52.0
THUCNews/教育/320722.txt,教育,11.0
THUCNews/教育/300597.txt,教育,67.0
THUCNews/教育/292518.txt,教育,99.0
THUCNews/教育/295912.txt,教育,14.0
THUCNews/教育/318544.txt,教育,15.0
THUCNews/教育/313999.txt,教育,42.0
THUCNews/教育/306817.txt,教育,16.0
THUCNews/教育/321079.txt,教育,8.0
THUCNews/教育/322600.txt,教育,17.0
THUCNews/教育/320999.txt,教育,4.0
THUCNews/教育/290251.txt,教育,10.0
THUCNews/教育/309044.txt,教育,5.0
THUCNews/教育/306877.txt,教育,52.0
THUCNews/教育/310877.txt,教育,10.0
THUCNews/教育/324658.txt,教育,6.0
THUCNews/教育/319841.txt,教育,7.0
THUCNews/教育/293747.txt,教育,41.0
THUCNews/教育/285833.txt,教育,9.0
THUCNews/教育/318857.txt,教育,25.0
THUCNews/教育/316972.txt,教育,6.0
THUCNews/教育/294020.txt,教育,7.0
THUCNews/教育/315828.txt,教育,31.0
THUCNews/教育/292537.txt,教育,6.0
THUCNews/教育/299441.txt,教育,12.0
THUCNews/教育/310401.txt,教育,15.0
THUCNews/教育/317541.txt,教育,23.0
THUCNews/教育/311609.txt,教育,11.0
THUCNews/教育/301097.txt,教育,8.0
THUCNews/教育/323896.txt,教育,7.0
THUCNews/教育/313971.txt,教育,3.0
THUCNews/教育/307018.txt,教育,27.0
THUCNews/教育/290787.txt,教育,3.0
THUCNews/教育/285484.txt,教育,68.0
THUCNews/教育/306984.txt,教育,19.0
THUCNews/教育/290022.txt,教育,14.0
THUCNews/教育/284956.txt,教育,13.0
THUCNews/教育/311021.txt,教育,11.0
THUCNews/教育/304416.txt,教育,10.0
THUCNews/教育/321605.txt,教育,26.0
THUCNews/教育/313731.txt,教育,22.0
THUCNews/教育/323162.txt,教育,6.0
THUCNews/教育/300120.txt,教育,5.0
THUCNews/教育/326280.txt,教育,19.0
THUCNews/教育/292218.txt,教育,34.0
THUCNews/教育/293117.txt,教育,15.0
THUCNews/教育/294791.txt,教育,12.0
THUCNews/教育/300523.txt,教育,12.0
THUCNews/教育/322222.txt,教育,45.0
THUCNews/教育/293975.txt,教育,48.0
THUCNews/教育/301831.txt,教育,4.0
THUCNews/教育/285731.txt,教育,7.0
THUCNews/教育/296820.txt,教育,10.0
THUCNews/教育/293374.txt,教育,5.0
THUCNews/教育/297701.txt,教育,12.0
THUCNews/教育/298111.txt,教育,46.0
THUCNews/教育/301447.txt,教育,6.0
THUCNews/教育/287707.txt,教育,7.0
THUCNews/教育/307456.txt,教育,10.0
THUCNews/教育/306553.txt,教育,7.0
THUCNews/教育/325429.txt,教育,7.0
THUCNews/教育/292738.txt,教育,7.0
THUCNews/教育/326126.txt,教育,16.0
THUCNews/教育/319850.txt,教育,10.0
THUCNews/教育/296188.txt,教育,8.0
THUCNews/教育/314397.txt,教育,20.0
THUCNews/教育/294654.txt,教育,11.0
THUCNews/教育/324925.txt,教育,25.0
THUCNews/教育/294494.txt,教育,4.0
THUCNews/教育/322482.txt,教育,15.0
THUCNews/教育/307543.txt,教育,50.0
THUCNews/教育/325599.txt,教育,1067.0
THUCNews/教育/316166.txt,教育,38.0
THUCNews/教育/313960.txt,教育,11.0
THUCNews/教育/310886.txt,教育,14.0
THUCNews/教育/318292.txt,教育,10.0
THUCNews/教育/293182.txt,教育,39.0
THUCNews/教育/304032.txt,教育,50.0
THUCNews/教育/305485.txt,教育,6.0
THUCNews/教育/306976.txt,教育,12.0
THUCNews/教育/324250.txt,教育,4.0
THUCNews/教育/301238.txt,教育,5.0
THUCNews/教育/312231.txt,教育,6.0
THUCNews/教育/325385.txt,教育,44.0
THUCNews/教育/312157.txt,教育,11.0
THUCNews/教育/300239.txt,教育,21.0
THUCNews/教育/310794.txt,教育,77.0
THUCNews/教育/307344.txt,教育,15.0
THUCNews/教育/315076.txt,教育,16.0
THUCNews/教育/324624.txt,教育,21.0
THUCNews/教育/309955.txt,教育,27.0
THUCNews/教育/291726.txt,教育,3.0
THUCNews/教育/312873.txt,教育,7.0
THUCNews/教育/312245.txt,教育,7.0
THUCNews/教育/314969.txt,教育,6.0
THUCNews/教育/305606.txt,教育,42.0
THUCNews/教育/301046.txt,教育,10.0
THUCNews/教育/308309.txt,教育,12.0
THUCNews/教育/293174.txt,教育,11.0
THUCNews/教育/322881.txt,教育,21.0
THUCNews/教育/294542.txt,教育,35.0
THUCNews/教育/294649.txt,教育,5.0
THUCNews/教育/315535.txt,教育,62.0
THUCNews/教育/306240.txt,教育,10.0
THUCNews/教育/304908.txt,教育,6.0
THUCNews/教育/288608.txt,教育,6.0
THUCNews/教育/323088.txt,教育,5.0
THUCNews/教育/318145.txt,教育,5.0
THUCNews/教育/284922.txt,教育,32.0
THUCNews/教育/290941.txt,教育,20.0
THUCNews/教育/302975.txt,教育,57.0
THUCNews/教育/306119.txt,教育,11.0
THUCNews/教育/315691.txt,教育,7.0
THUCNews/教育/293055.txt,教育,7.0
THUCNews/教育/297552.txt,教育,3.0
THUCNews/教育/293648.txt,教育,50.0
THUCNews/教育/320085.txt,教育,6.0
THUCNews/教育/286930.txt,教育,12.0
THUCNews/教育/322415.txt,教育,9.0
THUCNews/教育/323177.txt,教育,11.0
THUCNews/教育/295493.txt,教育,8.0
THUCNews/教育/316349.txt,教育,11.0
THUCNews/教育/301440.txt,教育,6.0
THUCNews/教育/317308.txt,教育,5.0
THUCNews/教育/296578.txt,教育,5.0
THUCNews/教育/298865.txt,教育,23.0
THUCNews/教育/287608.txt,教育,20.0
THUCNews/教育/302248.txt,教育,13.0
THUCNews/教育/316162.txt,教育,15.0
THUCNews/教育/293849.txt,教育,30.0
THUCNews/教育/312565.txt,教育,25.0
THUCNews/教育/293819.txt,教育,6.0
THUCNews/教育/295926.txt,教育,49.0
THUCNews/教育/322803.txt,教育,48.0
THUCNews/教育/322810.txt,教育,11.0
THUCNews/教育/308141.txt,教育,48.0
THUCNews/教育/298614.txt,教育,26.0
THUCNews/教育/317611.txt,教育,32.0
THUCNews/教育/303122.txt,教育,7.0
THUCNews/教育/304277.txt,教育,7.0
THUCNews/教育/306740.txt,教育,21.0
THUCNews/教育/314365.txt,教育,8.0
THUCNews/教育/293341.txt,教育,4.0
THUCNews/教育/313651.txt,教育,43.0
THUCNews/教育/292791.txt,教育,9.0
THUCNews/教育/289413.txt,教育,10.0
THUCNews/教育/325631.txt,教育,6.0
THUCNews/教育/315623.txt,教育,25.0
THUCNews/教育/309803.txt,教育,5.0
THUCNews/教育/306678.txt,教育,20.0
THUCNews/教育/309073.txt,教育,4.0
THUCNews/教育/322725.txt,教育,7.0
THUCNews/教育/304447.txt,教育,11.0
THUCNews/教育/318561.txt,教育,8.0
THUCNews/教育/317716.txt,教育,13.0
THUCNews/教育/296835.txt,教育,7.0
THUCNews/教育/292650.txt,教育,10.0
THUCNews/教育/314447.txt,教育,20.0
THUCNews/教育/319390.txt,教育,21.0
THUCNews/教育/316738.txt,教育,133.0
THUCNews/教育/295195.txt,教育,47.0
THUCNews/教育/320022.txt,教育,3.0
THUCNews/教育/312048.txt,教育,18.0
THUCNews/教育/291704.txt,教育,6.0
THUCNews/教育/293706.txt,教育,16.0
THUCNews/教育/306517.txt,教育,10.0
THUCNews/教育/287950.txt,教育,27.0
THUCNews/教育/303507.txt,教育,132.0
THUCNews/教育/285982.txt,教育,6.0
THUCNews/教育/303248.txt,教育,4.0
THUCNews/教育/309963.txt,教育,6.0
THUCNews/教育/322093.txt,教育,15.0
THUCNews/教育/301644.txt,教育,19.0
THUCNews/教育/304333.txt,教育,5.0
THUCNews/教育/293946.txt,教育,43.0
THUCNews/教育/305332.txt,教育,5.0
THUCNews/教育/299437.txt,教育,10.0
THUCNews/教育/319326.txt,教育,7.0
THUCNews/教育/303914.txt,教育,10.0
THUCNews/教育/302721.txt,教育,28.0
THUCNews/教育/299786.txt,教育,3.0
THUCNews/教育/309329.txt,教育,4.0
THUCNews/教育/325039.txt,教育,5.0
THUCNews/教育/319902.txt,教育,7.0
THUCNews/教育/321059.txt,教育,8.0
THUCNews/教育/320765.txt,教育,14.0
THUCNews/教育/308161.txt,教育,6.0
THUCNews/教育/294725.txt,教育,19.0
THUCNews/教育/324391.txt,教育,6.0
THUCNews/教育/285964.txt,教育,15.0
THUCNews/教育/324361.txt,教育,11.0
THUCNews/教育/313494.txt,教育,9.0
THUCNews/教育/309801.txt,教育,10.0
THUCNews/教育/289281.txt,教育,18.0
THUCNews/教育/288747.txt,教育,19.0
THUCNews/教育/325544.txt,教育,4.0
THUCNews/教育/302402.txt,教育,4.0
THUCNews/教育/294247.txt,教育,9.0
THUCNews/教育/291807.txt,教育,30.0
THUCNews/教育/288061.txt,教育,6.0
THUCNews/教育/323386.txt,教育,6.0
THUCNews/教育/289669.txt,教育,16.0
THUCNews/教育/290083.txt,教育,28.0
THUCNews/教育/286572.txt,教育,21.0
THUCNews/教育/322407.txt,教育,6.0
THUCNews/教育/319555.txt,教育,7.0
THUCNews/教育/306274.txt,教育,40.0
THUCNews/教育/321326.txt,教育,9.0
THUCNews/教育/288883.txt,教育,16.0
THUCNews/教育/308046.txt,教育,34.0
THUCNews/教育/314876.txt,教育,31.0
THUCNews/教育/320006.txt,教育,38.0
THUCNews/教育/309956.txt,教育,8.0
THUCNews/教育/322654.txt,教育,11.0
THUCNews/教育/290953.txt,教育,27.0
THUCNews/教育/290956.txt,教育,10.0
THUCNews/教育/293707.txt,教育,8.0
THUCNews/教育/286043.txt,教育,14.0
THUCNews/教育/301129.txt,教育,4.0
THUCNews/教育/308016.txt,教育,6.0
THUCNews/教育/310354.txt,教育,7.0
THUCNews/教育/291072.txt,教育,14.0
THUCNews/教育/293788.txt,教育,7.0
THUCNews/教育/299423.txt,教育,13.0
THUCNews/教育/323034.txt,教育,9.0
THUCNews/教育/288612.txt,教育,9.0
THUCNews/教育/293566.txt,教育,4.0
THUCNews/教育/299320.txt,教育,6.0
THUCNews/教育/316181.txt,教育,5.0
THUCNews/教育/309460.txt,教育,31.0
THUCNews/教育/319531.txt,教育,9.0
THUCNews/教育/321540.txt,教育,22.0
THUCNews/教育/298795.txt,教育,11.0
THUCNews/教育/310181.txt,教育,5.0
THUCNews/教育/293812.txt,教育,25.0
THUCNews/教育/318443.txt,教育,27.0
THUCNews/教育/298187.txt,教育,3.0
THUCNews/教育/289526.txt,教育,6.0
THUCNews/教育/288561.txt,教育,11.0
THUCNews/教育/296175.txt,教育,10.0
THUCNews/教育/313634.txt,教育,19.0
THUCNews/教育/311064.txt,教育,13.0
THUCNews/教育/322087.txt,教育,8.0
THUCNews/教育/312857.txt,教育,15.0
THUCNews/教育/305453.txt,教育,21.0
THUCNews/教育/290589.txt,教育,30.0
THUCNews/教育/314865.txt,教育,4.0
THUCNews/教育/316843.txt,教育,9.0
THUCNews/教育/290070.txt,教育,11.0
THUCNews/教育/313456.txt,教育,22.0
THUCNews/教育/318654.txt,教育,11.0
THUCNews/教育/321971.txt,教育,3.0
THUCNews/教育/284578.txt,教育,21.0
THUCNews/教育/308290.txt,教育,4.0
THUCNews/教育/324785.txt,教育,5.0
THUCNews/教育/285669.txt,教育,28.0
THUCNews/教育/291780.txt,教育,96.0
THUCNews/教育/299055.txt,教育,20.0
THUCNews/教育/308204.txt,教育,10.0
THUCNews/教育/286587.txt,教育,6.0
THUCNews/教育/287899.txt,教育,4.0
THUCNews/教育/287715.txt,教育,5.0
THUCNews/教育/319648.txt,教育,6.0
THUCNews/教育/302364.txt,教育,5.0
THUCNews/教育/313071.txt,教育,21.0
THUCNews/教育/311129.txt,教育,18.0
THUCNews/教育/319759.txt,教育,39.0
THUCNews/教育/287171.txt,教育,17.0
THUCNews/教育/319543.txt,教育,10.0
THUCNews/教育/306079.txt,教育,18.0
THUCNews/教育/314755.txt,教育,19.0
THUCNews/教育/289207.txt,教育,13.0
THUCNews/教育/302607.txt,教育,12.0
THUCNews/教育/320964.txt,教育,19.0
THUCNews/教育/306108.txt,教育,16.0
THUCNews/教育/290796.txt,教育,15.0
THUCNews/教育/293495.txt,教育,6.0
THUCNews/教育/286386.txt,教育,16.0
THUCNews/教育/326224.txt,教育,7.0
THUCNews/教育/311460.txt,教育,10.0
THUCNews/教育/300941.txt,教育,7.0
THUCNews/教育/299642.txt,教育,13.0
THUCNews/教育/313708.txt,教育,5.0
THUCNews/教育/319860.txt,教育,8.0
THUCNews/教育/315200.txt,教育,6.0
THUCNews/教育/290238.txt,教育,9.0
THUCNews/教育/306185.txt,教育,25.0
THUCNews/教育/316272.txt,教育,5.0
THUCNews/教育/288683.txt,教育,42.0
THUCNews/教育/294396.txt,教育,7.0
THUCNews/教育/291287.txt,教育,16.0
THUCNews/教育/308367.txt,教育,11.0
THUCNews/教育/314122.txt,教育,23.0
THUCNews/教育/303849.txt,教育,4.0
THUCNews/教育/308533.txt,教育,150.0
THUCNews/教育/289408.txt,教育,18.0
THUCNews/教育/293813.txt,教育,17.0
THUCNews/教育/290247.txt,教育,18.0
THUCNews/教育/314047.txt,教育,4.0
THUCNews/教育/312749.txt,教育,9.0
THUCNews/教育/302554.txt,教育,18.0
THUCNews/教育/321966.txt,教育,3.0
THUCNews/教育/299987.txt,教育,30.0
THUCNews/教育/301063.txt,教育,6.0
THUCNews/教育/310071.txt,教育,14.0
THUCNews/教育/313069.txt,教育,4.0
THUCNews/教育/295579.txt,教育,8.0
THUCNews/教育/322762.txt,教育,16.0
THUCNews/教育/293046.txt,教育,32.0
THUCNews/教育/307608.txt,教育,9.0
THUCNews/教育/293241.txt,教育,8.0
THUCNews/教育/299880.txt,教育,3.0
THUCNews/教育/300514.txt,教育,4.0
THUCNews/教育/324115.txt,教育,37.0
THUCNews/教育/306531.txt,教育,6.0
THUCNews/教育/319396.txt,教育,9.0
THUCNews/教育/314502.txt,教育,6.0
THUCNews/教育/319456.txt,教育,60.0
THUCNews/教育/316652.txt,教育,68.0
THUCNews/教育/291878.txt,教育,9.0
THUCNews/教育/317509.txt,教育,9.0
THUCNews/教育/303140.txt,教育,5.0
THUCNews/教育/320311.txt,教育,69.0
THUCNews/教育/289328.txt,教育,16.0
THUCNews/教育/305505.txt,教育,6.0
THUCNews/教育/294883.txt,教育,10.0
THUCNews/教育/322582.txt,教育,34.0
THUCNews/教育/317434.txt,教育,19.0
THUCNews/教育/319354.txt,教育,31.0
THUCNews/教育/286269.txt,教育,16.0
THUCNews/教育/316807.txt,教育,3.0
THUCNews/教育/287512.txt,教育,31.0
THUCNews/教育/314301.txt,教育,18.0
THUCNews/教育/291261.txt,教育,89.0
THUCNews/教育/315770.txt,教育,52.0
THUCNews/教育/293020.txt,教育,7.0
THUCNews/教育/323963.txt,教育,71.0
THUCNews/教育/319743.txt,教育,12.0
THUCNews/教育/293882.txt,教育,7.0
THUCNews/教育/299541.txt,教育,3.0
THUCNews/教育/314914.txt,教育,46.0
THUCNews/教育/305794.txt,教育,5.0
THUCNews/教育/297652.txt,教育,4.0
THUCNews/教育/295745.txt,教育,26.0
THUCNews/教育/303357.txt,教育,4.0
THUCNews/教育/306673.txt,教育,12.0
THUCNews/教育/325850.txt,教育,5.0
THUCNews/教育/307629.txt,教育,22.0
THUCNews/教育/325311.txt,教育,10.0
THUCNews/教育/309036.txt,教育,3.0
THUCNews/教育/319734.txt,教育,23.0
THUCNews/教育/286508.txt,教育,6.0
THUCNews/教育/303629.txt,教育,32.0
THUCNews/教育/302054.txt,教育,8.0
THUCNews/教育/311662.txt,教育,5.0
THUCNews/教育/287740.txt,教育,16.0
THUCNews/教育/306442.txt,教育,5.0
THUCNews/教育/302460.txt,教育,26.0
THUCNews/教育/297717.txt,教育,21.0
THUCNews/教育/300685.txt,教育,6.0
